"Table 3: Estimated population by sex, five year age group and administrative area, mid-2019",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Persons,,,,Age group,,,,,,,,,,,,,,,,,,,,Persons
Area code1,Area name,All Ages,,0 - 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90+,,Area
S12000028,South Ayrshire,"112,610",,"5,007","5,618","5,862","5,553","5,870","5,628","5,628","5,703","5,725","7,372","8,492","8,994","8,414","7,894","7,671","5,557","4,006","2,320","1,296",,South Ayrshire
S12000029,South Lanarkshire,"320,530",,"16,686","17,842","17,732","16,628","17,561","18,827","18,620","20,427","19,111","22,694","24,813","24,987","21,896","18,572","16,527","11,855","8,455","4,884","2,413",,South Lanarkshire
S12000030,Stirling,"94,210",,"4,195","4,829","5,277","5,795","7,634","6,299","5,493","5,092","5,320","6,326","7,178","6,838","5,670","5,048","4,844","3,577","2,639","1,400",756,,Stirling
S12000039,West Dunbartonshire,"88,930",,"4,549","5,127","5,037","4,579","5,067","5,855","5,688","5,390","4,832","5,749","7,032","7,015","6,279","5,065","4,509","3,047","2,214","1,289",607,,West Dunbartonshire
S12000040,West Lothian,"183,100",,"10,048","11,484","11,783","10,191","10,167","11,041","12,010","12,480","11,676","13,592","14,404","13,095","10,644","9,113","8,578","5,788","3,928","2,058","1,020",,West Lothian
,,,,,,,,,,,,,,,,,,,,,,,,
,NHS Board areas,,,,,,,,,,,,,,,,,,,,,,,NHS Board areas
S08000015,Ayrshire and Arran,"369,360",,"17,430","19,641","20,171","19,062","20,362","20,440","20,138","19,853","19,512","24,739","28,693","28,762","26,329","23,952","23,059","16,288","11,207","6,356","3,366",,Ayrshire & Arran
S08000016,Borders,"115,510",,"5,307","6,241","6,249","5,805","5,532","5,211","5,283","5,890","5,860","7,956","9,383","9,378","8,799","8,009","7,993","5,472","3,896","2,196","1,050",,Borders
S08000017,Dumfries and Galloway,"148,860",,"6,356","7,424","7,966","7,174","7,492","7,436","7,485","7,408","7,095","9,345","11,659","12,252","11,198","10,752","10,291","7,625","5,270","3,120","1,512",,Dumfries & Galloway
S08000029,Fife,"373,550",,"18,541","21,176","20,882","20,280","23,734","22,437","21,552","21,981","21,414","24,902","28,053","27,226","24,348","21,771","21,460","14,587","10,233","5,779","3,194",,Fife
S08000019,Forth Valley,"306,640",,"14,765","16,860","17,475","16,969","19,391","18,826","18,249","18,353","18,654","22,021","24,090","22,686","19,127","17,097","16,125","11,222","8,127","4,336","2,267",,Forth Valley
S08000020,Grampian,"585,700",,"30,425","32,759","31,655","29,115","35,618","40,640","41,984","40,376","36,549","39,952","41,947","40,615","36,119","31,471","29,053","19,825","14,452","8,612","4,533",,Grampian
S08000031,Greater Glasgow and Clyde,"1,183,120",,"60,611","65,162","60,803","60,446","85,046","101,357","92,793","81,540","68,597","74,316","83,589","82,430","70,478","56,259","50,176","36,098","27,939","16,721","8,759",,Greater Glasgow & Clyde
